subsidiária,sentimento,comentário
Schweppes,positivo,"misturar isso com Monster , fica bom ?"
Schweppes,positivo,amei🥰
Schweppes,neutro,Tá tudo escrito em árabe foi ótimo 😅 😂😂😂😂😂
Schweppes,positivo,Eu quero 🥺
Schweppes,positivo,muito boa! ja provei 🥰
Schweppes,positivo,Meu refri favorito agora 🥰
Schweppes,positivo,"Ah que saudades, eu tomei muito esse Schweppes aí fui em maio desse ano, viagem maravilhosa!"
Schweppes,positivo,que legal skskskk🥰🥰
Schweppes,positivo,"eu amo refri sem gás, e romã, então acho q ia adorar"
Schweppes,positivo,essa tônica é uma delícia mesmo
Schweppes,negativo,Eu detestei
Schweppes,negativo,tem gosto de dipiroma ruim dms slk
Schweppes,negativo,"eu achei horrível, um gosto muito de remédio"
Schweppes,negativo,prefiro o guaraná Jesus
Schweppes,negativo,"Amarga demais, uó! Kkkkk"
Schweppes,neutro,gente essa bebida tem álcool?
Schweppes,neutro,primeiro a comentar
Schweppes,neutro,segundaaaa
Schweppes,neutro,🥰☺️😊
Schweppes,neutro,Parece Guaraná Jesus.
Schweppes,neutro,comprei essa ontem! mas ainda nn provei
Schweppes,neutro,🥰🥰🥰
Schweppes,neutro,@Fagundesszzz nescecito de Schweppes 🥶
Schweppes,neutro,romã é minha fruta favorita
Schweppes,neutro,Foi uma das notas mais altas 😳
Schweppes,neutro,O gritinho dela e o melhor kkk
Schweppes,neutro,“Eu tô no Egito e hoje eu vou provar Schweppes de Romã” - “Ahhhhh”
Schweppes,neutro,O dia que a Niki der um 10 eu caio pra trás 😂😂😂😂😂
Schweppes,neutro,vc é uma pessoa tão feliz 🥰🥰 amo vc
Schweppes,neutro,@jaque.bertoni
Schweppes,neutro,Guaraná Jesus do Egito
Schweppes,neutro,🥰🥰🥰
Schweppes,neutro,Nikiiii vc está no meu lugar favorito no mundooooooo!!!! Enjoy it… AMO o Egito 🥰🥰😂😂
Schweppes,neutro,essa moça é a pessoa?
